text,novel,narrativeTime,speaker,dialogueTurn,speakerType,author,numTokens,numLexTokens_valence,avgValence,numLexTokens_arousal,avgArousal,numLexTokens_dominance,avgDominance
"I am _not_ a great reader, and I have pleasure in many things.",PrideAndPrejudice,0.1055748417398407,Elizabeth,178,major,Jane Austen,10,3,0.8846666666666666,3,0.598,3,0.695
"You must not blame my aunt. Lydia's thoughtlessness first betrayed to me that you had been concerned in the matter; and, of course, I could not rest till I knew the particulars. Let me thank you again and again, in the name of all my family, for that generous compassion which induced you to take so much trouble, and bear so many mortifications, for the sake of discovering them.",PrideAndPrejudice,0.9424137226873596,Elizabeth,1186,major,Jane Austen,58,16,0.5509375,16,0.458,16,0.4439375
it will then be early enough for expectation.,PrideAndPrejudice,0.8521543802327955,Elizabeth,1056,major,Jane Austen,7,3,0.6669999999999999,3,0.3403333333333333,3,0.5716666666666667
"And this,",PrideAndPrejudice,0.8929957116602001,Elizabeth,1096,major,Jane Austen,1,0,,0,,0,
"has very lately given him a living. I hardly know how Mr. Collins was first introduced to her notice, but he certainly has not known her long.",PrideAndPrejudice,0.2334082091076169,Elizabeth,383,major,Jane Austen,23,2,0.6950000000000001,2,0.4305,2,0.746
"This will not do,",PrideAndPrejudice,0.5536042474984685,Elizabeth,764,major,Jane Austen,3,1,0.698,1,0.408,1,0.735
"Yes, and I had heard it before. But what is that to me? If there is no other objection to my marrying your nephew, I shall certainly not be kept from it, by knowing that his mother and aunt wished him to marry Miss De Bourgh. You both did as much as you could, in planning the marriage. Its completion depended on others. If Mr. Darcy is neither by honour nor inclination confined to his cousin, why is not he to make another choice? And if I am that choice, why may not I accept him?",PrideAndPrejudice,0.9175005105166428,Elizabeth,1141,major,Jane Austen,82,16,0.6467499999999999,16,0.4141875,16,0.52
I think I have understood that Mr. Bingley has not much idea of ever returning to Netherfield again?,PrideAndPrejudice,0.4494588523585869,Elizabeth,654,major,Jane Austen,16,4,0.7682500000000001,4,0.444,4,0.65025
"Upon my word, Sir,",PrideAndPrejudice,0.2893608331631611,Elizabeth,461,major,Jane Austen,2,0,,0,,0,
You are much mistaken if you expect to influence me by such a paltry attack as this. I see nothing in it but your own wilful ignorance and the malice of Mr. Darcy.,PrideAndPrejudice,0.2638350010210333,Elizabeth,435,major,Jane Austen,30,8,0.33775,8,0.5695,8,0.42699999999999994
"I have been rather too much used to the game to be soon overcome by a gentleman's hints. However, when I found how excessively he was regretting that he should miss my father this morning, I gave way immediately, for I would never really omit an opportunity of bringing him and Sir Walter together. They appear to so much advantage in company with each other. Each behaving so pleasantly. Mr Elliot looking up with so much respect.",Persuasion,0.8355285376561973,Elizabeth,400,minor,Jane Austen,68,18,0.6432222222222223,18,0.47844444444444456,18,0.5899444444444444
"Oh! I lay no embargo on any body's words. If you will have such ideas! But, upon my word, I am scarcely sensible of his attentions being beyond those of other men.",Persuasion,0.8368794326241135,Elizabeth,402,minor,Jane Austen,25,7,0.48342857142857143,7,0.399,7,0.42757142857142855
"Very well,",Persuasion,0.8439716312056738,Elizabeth,405,minor,Jane Austen,1,0,,0,,0,
"I have nothing to send but my love. Oh! you may as well take back that tiresome book she would lend me, and pretend I have read it through. I really cannot be plaguing myself for ever with all the new poems and states of the nation that come out. Lady Russell quite bores one with her new publications. You need not tell her so, but I thought her dress hideous the other night. I used to think she had some taste in dress, but I was ashamed of her at the concert. Something so formal and _arrang _ in her air! and she sits so upright! My best love, of course.",Persuasion,0.8446470786896318,Elizabeth,405,minor,Jane Austen,96,31,0.6220967741935484,31,0.4008709677419355,31,0.4635161290322581
"I had not the smallest intention of asking him,",Persuasion,0.8335021952043229,Elizabeth,398,minor,Jane Austen,8,2,0.406,2,0.41000000000000003,2,0.3825
"I think very differently,",Persuasion,0.1026680175616345,Elizabeth,33,minor,Jane Austen,3,1,0.786,1,0.408,1,0.618
"but he gave so many hints; so Mrs Clay says, at least.",Persuasion,0.834177642688281,Elizabeth,398,minor,Jane Austen,9,1,0.542,1,0.25,1,0.267
"Oh, no! I think not. Situated as we are with Lady Dalrymple, cousins, we ought to be very careful not to embarrass her with acquaintance she might not approve. If we were not related, it would not signify; but as cousins, she would feel scrupulous as to any proposal of ours. We had better leave the Crofts to find their own level. There are several odd-looking men walking about here, who, I am told, are sailors. The Crofts will associate with them.",Persuasion,0.6318811212428234,Elizabeth,268,minor,Jane Austen,65,18,0.6244999999999999,18,0.4617222222222222,18,0.5543888888888888
"Then I am sure Anne had better stay, for nobody will want her in Bath.",Persuasion,0.0962512664640324,Elizabeth,30,minor,Jane Austen,13,3,0.6976666666666667,3,0.43999999999999995,3,0.7086666666666667
"That must not be any reason, indeed. I assure you I feel it none. She is nothing to me, compared with you;",Persuasion,0.5295508274231678,Elizabeth,232,minor,Jane Austen,17,4,0.6975,4,0.42100000000000004,4,0.6075
"I knew,",PrideAndPrejudice,0.9493567490300184,Mr. Darcy,1198,major,Jane Austen,1,0,,0,,0,
"If you _will_ thank me,",PrideAndPrejudice,0.9426179293444966,Mr. Darcy,1187,major,Jane Austen,3,1,0.958,1,0.353,1,0.526
"There is, I believe, in every disposition a tendency to some particular evil, a natural defect, which not even the best education can overcome.",PrideAndPrejudice,0.1756177251378395,Mr. Darcy,310,major,Jane Austen,19,6,0.7201666666666666,6,0.3661666666666666,6,0.6226666666666667
is wilfully to misunderstand them.,PrideAndPrejudice,0.1764345517663876,Mr. Darcy,312,major,Jane Austen,4,1,0.177,1,0.548,1,0.382
"I would by no means suspend any pleasure of yours,",PrideAndPrejudice,0.2611803144782519,Mr. Darcy,431,major,Jane Austen,9,4,0.57175,4,0.46125,4,0.48424999999999996
And what is your success?,PrideAndPrejudice,0.2597508678782928,Mr. Darcy,427,major,Jane Austen,4,0,,0,,0,
"I have already told her so once, by your desire.",PrideAndPrejudice,0.1400857667959975,Mr. Darcy,245,major,Jane Austen,8,1,0.757,1,0.389,1,0.593
"Never, sir.",PrideAndPrejudice,0.0667755768838064,Mr. Darcy,114,major,Jane Austen,0,0,,0,,0,
"How near it may be to _mine_, I cannot pretend to say.--_You_ think it a faithful portrait undoubtedly.",PrideAndPrejudice,0.251991014907086,Mr. Darcy,406,major,Jane Austen,15,6,0.7060000000000001,6,0.32799999999999996,6,0.5088333333333334
"I should not be surprised,",PrideAndPrejudice,0.4500714723299979,Mr. Darcy,657,major,Jane Austen,4,1,0.67,1,0.24,1,0.554
"and a very considerable one--that I made the match myself. I made the match, you know, four years ago; and to have it take place, and be proved in the right, when so many people said Mr. Weston would never marry again, may comfort me for any thing.",Emma,0.0147765711233754,Emma,25,major,Jane Austen,38,12,0.6893333333333334,12,0.3953333333333333,12,0.507
How do you like Mrs. Elton?,Emma,0.6389531778529464,Emma,1078,major,Jane Austen,4,2,0.6945,2,0.4505,2,0.491
"I do suspect that in the midst of your perplexities at that time, you had very great amusement in tricking us all.--I am sure you had.--I am sure it was a consolation to you.",Emma,0.9886060174470358,Emma,1583,major,Jane Austen,30,8,0.60875,8,0.483125,8,0.6054999999999999
"They walked, I conclude. How else could they come?",Emma,0.4164144561153641,Emma,686,major,Jane Austen,6,0,,0,,0,
"I will promise to call you once by your Christian name. I do not say when, but perhaps you may guess where;--in the building in which N. takes M. for better, for worse.",Emma,0.9505073882855616,Emma,1525,major,Jane Austen,26,8,0.675625,8,0.42712500000000003,8,0.546875
Did you see her often at Weymouth? Were you often in the same society?,Emma,0.3710165568808973,Emma,603,major,Jane Austen,12,1,0.635,1,0.269,1,0.312
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,167,45,0.6818666666666667,45,0.4300888888888888,45,0.5797111111111111
that I must often have contributed to make her unhappy.,Emma,0.8625600854548692,Emma,1410,major,Jane Austen,9,3,0.6163333333333334,3,0.397,3,0.5046666666666667
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,42,18,0.6185555555555555,18,0.38049999999999995,18,0.49677777777777776
"Perhaps she might; but it is not every man's fate to marry the woman who loves him best. Miss Hawkins perhaps wanted a home, and thought this the best offer she was likely to have.",Emma,0.529642157735446,Emma,895,major,Jane Austen,30,6,0.7005,6,0.525,6,0.5690000000000001
"So do I. I wouldn t answer for our safety now, if he should happen to have another of his attacks of energy.",SignOfFour,0.5624693777560019,Mr. Sherlock Holmes,346,major,Arthur Conan Doyle,20,5,0.6698000000000001,5,0.49420000000000003,5,0.6418
"Go on with your story,",SignOfFour,0.9181773640372366,Mr. Sherlock Holmes,571,major,Arthur Conan Doyle,4,1,0.51,1,0.441,1,0.444
"I suppose that its influence is physically a bad one. I find it, however, so transcendently stimulating and clarifying to the mind that its secondary action is a matter of small moment.",SignOfFour,0.0107790298873101,Mr. Sherlock Holmes,3,major,Arthur Conan Doyle,28,10,0.5887,10,0.5208999999999999,10,0.5305000000000001
"No; I am not tired. I have a curious constitution. I never remember feeling tired by work, though idleness exhausts me completely. I am going to smoke and to think over this queer business to which my fair client has introduced us. If ever man had an easy task, this of ours ought to be. Wooden-legged men are not so common, but the other man must, I should think, be absolutely unique.",SignOfFour,0.5737383635472807,Mr. Sherlock Holmes,355,major,Arthur Conan Doyle,59,15,0.5939333333333334,15,0.40306666666666674,15,0.47500000000000003
"No, I could not sleep,",SignOfFour,0.6178343949044586,Mr. Sherlock Holmes,390,major,Arthur Conan Doyle,3,0,,0,,0,
"The main thing with people of that sort,",SignOfFour,0.5369916707496325,Mr. Sherlock Holmes,327,major,Arthur Conan Doyle,7,3,0.5733333333333334,3,0.37733333333333335,3,0.5236666666666667
"Not only will I clear him, Mr. Jones, but I will make you a free present of the name and description of one of the two people who were in this room last night. His name, I have every reason to believe, is Jonathan Small. He is a poorly-educated man, small, active, with his right leg off, and wearing a wooden stump which is worn away upon the inner side. His left boot has a coarse, square-toed sole, with an iron band round the heel. He is a middle-aged man, much sunburned, and has been a convict. These few indications may be of some assistance to you, coupled with the fact that there is a good deal of skin missing from the palm of his hand. The other man",SignOfFour,0.3958843704066634,Mr. Sherlock Holmes,220,major,Arthur Conan Doyle,106,37,0.6132702702702704,37,0.37591891891891893,37,0.48659459459459464
"and going like the devil! Full speed ahead, engineer. Make after that launch with the yellow light. By heaven, I shall never forgive myself if she proves to have the heels of us!",SignOfFour,0.7334639882410583,Mr. Sherlock Holmes,482,major,Arthur Conan Doyle,27,10,0.6627,10,0.4587,10,0.5236
"In that case I should have wasted my day. I think that it is a hundred to one against Smith knowing where they live. As long as he has liquor and good pay, why should he ask questions? They send him messages what to do. No, I thought over every possible course, and this is the best.",SignOfFour,0.7197452229299363,Mr. Sherlock Holmes,473,major,Arthur Conan Doyle,49,15,0.6372,15,0.3968,15,0.49993333333333323
"that our wooden-legged friend, though a fair climber, was not a professional sailor. His hands were far from horny. My lens discloses more than one blood-mark, especially towards the end of the rope, from which I gather that he slipped down with such velocity that he took the skin off his hand.",SignOfFour,0.3336599706026457,Mr. Sherlock Holmes,170,major,Arthur Conan Doyle,44,9,0.5447777777777778,9,0.42766666666666664,9,0.5237777777777778
"Death from some powerful vegetable alkaloid,",SignOfFour,0.3669769720725134,Dr. Watson,192,major,Arthur Conan Doyle,5,3,0.48233333333333334,3,0.5566666666666666,3,0.584
I believe that they are really after us.,SignOfFour,0.5644292013718766,Dr. Watson,347,major,Arthur Conan Doyle,7,1,0.781,1,0.37,1,0.682
"But that is mere speculation,",SignOfFour,0.4801567858892699,Dr. Watson,272,major,Arthur Conan Doyle,4,1,0.396,1,0.221,1,0.176
"I have brought something better than news,",SignOfFour,0.8025477707006371,Dr. Watson,505,major,Arthur Conan Doyle,6,1,0.757,1,0.389,1,0.593
A savage!,SignOfFour,0.5752082312591866,Dr. Watson,358,major,Arthur Conan Doyle,1,0,,0,,0,
"Right on both points! But I confess that I don t see how you arrived at it. It was a sudden impulse upon my part, and I have mentioned it to no one.",SignOfFour,0.0377266046055854,Dr. Watson,21,major,Arthur Conan Doyle,29,7,0.5881428571428572,7,0.5251428571428571,7,0.5419999999999999
"South American,",SignOfFour,0.5781479666829985,Dr. Watson,360,major,Arthur Conan Doyle,1,1,0.562,1,0.265,1,0.429
What is to be done?,SignOfFour,0.2969132778049975,Dr. Watson,149,major,Arthur Conan Doyle,4,1,0.67,1,0.24,1,0.554
A man of business habits and some force of character.,SignOfFour,0.1126898579127878,Dr. Watson,81,major,Arthur Conan Doyle,9,2,0.6499999999999999,2,0.6595,2,0.8300000000000001
I was never so struck by anything in my life. I even embodied it in a small brochure with the somewhat fantastic title of A Study in Scarlet.,SignOfFour,0.0186183243508084,Dr. Watson,8,major,Arthur Conan Doyle,26,5,0.6848,5,0.3688,5,0.5368
